TCGA-IC-A6RE-11A-12R-A336-31	TCGA-IC-A6RF-11A-21R-A336-31	TCGA-IG-A3I8-11A-11R-A24K-31	TCGA-L5-A43C-11A-11R-A24K-31	TCGA-L5-A4OF-11A-12R-A260-31	TCGA-L5-A4OG-11A-12R-A260-31	TCGA-L5-A4OJ-11A-12R-A260-31	TCGA-L5-A4OM-11A-11R-A260-31	TCGA-L5-A4OO-11A-12R-A260-31	TCGA-L5-A4OQ-11A-12R-A260-31	TCGA-L5-A4OR-11A-11R-A260-31	TCGA-V5-A7RE-11A-11R-A354-31	TCGA-V5-AASX-11A-11R-A38D-31
ACAP2|23527	12.1455	11.7261	6.3477	4.1286	8.883	7.5894	6.2693	12.8004	7.1285	9.3241	4.7364	11.0337	12.6231
ACAP3|116983	15.1817	16.2838	6.5863	4.711	11.0193	7.0969	6.2327	11.0747	7.1978	5.768	5.2074	6.7803	3.6754
ACAT1|38	5.4379	5.6103	17.4579	21.8178	27.1109	19.4345	25.0029	6.2257	18.6626	11.2851	26.0093	7.4574	13.6564
ACAT2|39	13.0488	23.0076	6.9382	8.0682	14.9399	8.4402	6.9969	18.9039	6.784	4.9997	10.1332	17.3267	33.3089
ACBD3|64746	16.3365	21.4666	10.1287	18.8525	32.4311	24.4911	21.1029	39.5855	15.7184	13.5547	21.1466	23.2798	33.2348
ACBD4|79777	1.2609	0.9595	3.481	2.2828	2.3795	3.3363	2.1144	4.1007	3.4081	3.9378	2.2753	4.0428	3.0527
ACBD5|91452	4.4475	5.2128	4.0338	6.3637	13.5512	10.1996	8.1836	15.4336	5.618	4.7739	8.3689	26.4044	30.7393
ACBD6|84320	5.6789	14.6821	8.3049	6.867	6.5311	7.1604	6.2746	6.2807	7.0023	8.209	6.7258	8.5317	15.1639
ACBD7|414149	0.0641	0.0936	0.0383	0.2193	0.3174	0.2169	0.4553	0.1551	0.2274	0.0555	0.4573	1.0075	0.6207
ACCN1|40	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCN2|41	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCN3|9311	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCN4|55515	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCN5|51802	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCSL|390110	0	0	0.0055	0.0069	0	0	0.0116	0.0101	0.0235	0.0092	0	0.1849	0
ACCS|84680	1.3683	1.649	0.8534	3.0726	3.4422	3.5771	5.1433	3.9831	2.0788	2.4796	2.564	2.7571	2.0103
ACD|65057	2.2805	6.6394	4.7793	2.228	5.0016	2.985	3.8588	3.888	4.0849	4.3552	2.8259	4.6946	3.7444
ACE2|59272	0.8831	1.1904	0.2299	0.1582	0.451	2.4341	0.1578	2.0298	0.1356	0.2257	0.4205	5.0138	0.5057
ACER1|125981	31.8461	4.3918	0.0095	0.0236	0	0.0718	0.0941	0.2884	0.0486	0.0795	0.0518	0.5581	0
ACER2|340485	1.2416	1.0201	0.5774	6.0236	28.2513	21.2786	4.3188	71.351	4.961	2.7025	16.031	12.5955	31.3739
ACER3|55331	4.982	6.1821	4.4974	2.608	7.5654	4.5558	8.6423	9.9908	3.7305	4.9908	3.6889	8.4841	7.8461
ACE|1636	0.5182	1.7852	2.8332	2.2514	2.2299	4.8706	3.2824	9.6666	2.8629	7.29	2.6101	4.8515	28.6622
ACHE|43	0.5244	0.2844	2.7986	0.1583	0.1857	0.4109	0.177	1.9746	2.4472	0.6623	0.1034	7.309	0.1867
ACIN1|22985	14.3093	16.4712	13.7366	11.1395	22.3254	18.6968	17.345	27.8454	15.0507	16.8109	13.4364	20.2989	24.1737
ACLY|47	15.5554	30.5517	18.1477	15.7326	31.1104	26.4451	18.6912	38.6004	18.8557	26.0781	18.6183	18.0518	51.3222
ACMSD|130013	0.0241	0.0303	0.1262	0.0276	0.1089	0.0677	0.1079	0.0989	0.0905	0.0868	0.0486	0.5066	0.0472
ACN9|57001	3.0499	4.6859	2.1679	2.9596	3.3501	2.9952	2.9143	3.2976	2.0418	2.0694	3.2677	2.4241	4.8021
ACO1|48	7.8068	7.9187	35.2261	16.4836	26.1586	24.5416	14.4455	21.9087	21.5859	22.8454	23.1988	22.7505	29.7113
ACO2|50	45.2464	65.0822	114.1256	98.9764	136.348	127.1125	121.9101	86.5671	90.3705	59.6119	155.4712	77.2401	129.975
