TCGA-2H-A9GO-01A-11R-A37I-31	TCGA-L5-A4OT-01A-11R-A28J-31	TCGA-L5-A8NF-01A-11R-A37I-31	TCGA-L5-A8NH-01A-11R-A37I-31	TCGA-LN-A5U5-01A-21R-A28J-31	TCGA-R6-A8W5-01B-11R-A37I-31	TCGA-VR-A8EU-01A-11R-A36D-31	TCGA-VR-A8EX-01A-11R-A36D-31	TCGA-VR-AA7B-01A-31R-A406-31
ACSM4|341392	0.0553	0.0113	0	0.0363	0.0302	0.0207	0.0157	0.0063	0.0118
ACSM5|54988	0.0058	0.1794	0.0249	0.064	0.0402	0.0779	0.0632	0.0344	0.0298
ACSS1|84532	24.1408	29.5516	21.2921	16.0617	7.8626	7.6462	4.631	7.5809	3.7767
ACSS2|55902	21.7331	20.5729	60.1016	47.6031	13.2777	14.8569	8.2527	14.5573	12.4983
ACSS3|79611	0.4974	1.0703	0.2651	0.2003	0.1431	3.6453	0.1968	0.0371	2.1364
ACTA1|58	0.2068	0.0333	0.0288	0.0619	0.0254	0.0083	0.0214	0.0882	0.0411
ACTA2|59	16.6449	78.6383	41.8711	19.9228	27.4676	45.0632	30.3459	10.5619	66.7164
ACTBL2|345651	0.7154	1.5936	0.2124	0.3073	0.1934	0.1949	0.1112	0.0214	0.8745
ACTB|60	4713.2573	1846.9751	1786.7826	3373.4426	2061.6089	2645.9328	4292.3766	3820.1061	2942.0312
ACTC1|70	0.0692	2.9008	2.6955	0.0385	0.771	0.0519	0.1767	0.1717	0.3807
ACTG1|71	2324.4169	1680.3742	2043.0335	1925.6173	2040.7665	1519.1693	2657.4304	2958.1441	2375.9401
ACTG2|72	2.3086	46.2812	27.6708	4.7852	14.5738	15.8138	22.7957	9.8644	49.7352
ACTL6A|86	69.7766	22.2559	43.9579	26.1175	101.3218	33.9654	55.4862	60.0633	57.2946
ACTL6B|51412	0.0595	0	0.055	0.0182	0	0	0.0051	0.0155	0.0224
ACTL7A|10881	0.0458	0.0289	0.012	0	0	0	0.0222	0	0
ACTL7B|10880	0.0466	0.0118	0.0122	0.0152	0	0	0.0057	0.017	0
ACTL8|81569	0.5988	0	0.2866	0.084	0.4372	34.5868	0.5178	3.5978	0.0127
ACTL9|284382	0	0	0	0	0	0	0	0	0
ACTN1|87	20.4561	36.8221	27.8331	29.8833	31.6925	60.3926	112.8732	21.3603	106.4172
ACTN2|88	0.0139	0.0963	0.0144	0.0059	0.029	0.0295	0.0285	0.0169	0.0332
ACTN3|89	0.0096	0.0481	0.0227	0.0198	0.0266	0.0367	0.0258	0.0581	0.0431
ACTN4|81	240.0815	176.2975	197.0718	307.423	183.9296	180.0344	269.7907	378.628	277.7375
ACTR10|55860	11.3994	9.2658	8.4587	9.5531	17.5292	8.7055	14.683	11.1373	14.2664
ACTR1A|10121	32.1404	22.3135	36.9882	31.5977	41.2579	34.1395	47.0076	34.3119	30.7845
ACTR1B|10120	24.9307	14.605	15.3752	15.7372	19.9272	17.213	9.0829	20.5366	21.1692
ACTR2|10097	100.18	63.7813	75.6492	73.2077	79.0448	75.1979	75.2966	55.057	56.3383
ACTR3B|57180	3.4776	2.1137	1.2664	3.6522	3.5269	1.9668	1.4147	2.2137	1.434
ACTR3C|653857	2.1606	1.3943	1.2739	3.4205	3.4562	2.1623	0.9128	0.8409	1.4905
ACTR3|10096	336.7488	83.0818	85.2002	73.2349	131.794	82.9831	128.2037	148.365	72.0234
ACTR5|79913	8.7639	4.4618	8.1116	7.8476	3.1229	4.9421	3.8457	4.5	6.103
ACTR6|64431	8.5227	6.3087	3.8511	4.9794	24.1277	4.3023	5.5701	7.7056	3.4389
ACTR8|93973	2.6006	6.4825	8.5793	5.4625	3.669	7.1252	2.6776	3.4597	2.9368
ACTRT1|139741	0	0	0.0114	0	0	0	0	0	0.0164
ACTRT2|140625	0	0	0	0	0	0	0	0	0
ACVR1B|91	21.4733	22.0446	25.7385	16.4755	13.5064	14.5532	6.6948	10.7636	16.9379
ACVR1C|130399	0.4424	1.2912	1.037	0.6495	0.8139	0.8464	1.0878	0.5795	1.4773
ACVR1|90	9.0309	15.3987	12.037	9.6888	19.4607	11.3748	15.7669	13.5927	19.3815
ACVR2A|92	3.2718	4.8088	7.7638	2.777	2.6421	1.7555	1.4618	4.7658	2.0861
ACVR2B|93	3.8167	2.2506	0.9234	1.2204	0.7517	1.3583	0.6804	0.7	3.1649
ACVRL1|94	1.974	4.5046	3.0443	3.3704	1.4599	6.4071	1.9456	0.5314	1.9901
ACY1|95	19.2591	15.4441	17.7435	20.6924	7.7293	51.7746	11.9278	11.3836	8.3926
ACY3|91703	7.9239	6.3895	26.095	3.0828	2.9771	4.967	0.8419	1.819	0.6825
ACYP1|97	10.4235	9.8316	10.0148	6.144	17.7701	7.0936	7.1609	9.5525	7.6864
