TCGA-2Y-A9GS-01A-12R-A38B-07	TCGA-BW-A5NP-01A-11R-A27V-07	TCGA-DD-A119-01A-11R-A131-07	TCGA-DD-A1EK-01A-11R-A213-07	TCGA-DD-A3A9-01A-11R-A266-07	TCGA-FV-A2QQ-01A-11R-A22L-07
ADCY9|115	2894.0365	605.1733	597.9996	2501.2552	904.3359	1415.1534
ADCYAP1R1|117	0	0	0	4.1841	0	0
ADCYAP1|116	0.4929	0	0.7019	0.8368	1.3765	0.6262
ADC|113451	34.0069	11.225	23.162	64.4351	31.6586	35.0657
ADD1|118	3226.7127	2265.4954	2505.0009	4248.5356	4618.7199	3790.2317
ADD2|119	3.45	8.7848	0.7019	2.5105	4.1294	6.8879
ADD3|120	171.0202	1286.4812	240.0421	426.7782	247.7632	218.5348
ADH1A|124	16744.6476	8333.8116	14512.0197	9417.5649	19158.9745	25140.8766
ADH1B|125	21227.6984	5049.7804	42274.0832	52872.8033	12028.9057	59989.355
ADH1C|126	19756.0375	13.1772	4038.6033	23271.1297	2700.6194	2698.1841
ADH4|127	6827.9941	1257.6867	11180.2071	8050.2092	10052.9938	11064.4959
ADH5|128	5284.8694	5398.243	6811.7214	6104.6025	4640.7433	6618.0338
ADH6|130	4916.7077	2205.9541	3107.2118	4460.251	4057.8114	6200.3757
ADH7|131	20.207	4.8804	0.7019	1.6736	2.0647	5.6356
ADHFE1|137872	440.1183	265.0073	1306.1941	624.2678	52.3056	899.186
