TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-A2-A0CS-01A-11R-A115-07	TCGA-A2-A0SV-01A-11R-A084-07	TCGA-A2-A0SW-01A-11R-A084-07	TCGA-A2-A0T2-01A-11R-A084-07	TCGA-A8-A07W-01A-11R-A00Z-07	TCGA-A8-A08J-01A-11R-A00Z-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-A8-A08T-01A-21R-A00Z-07	TCGA-AC-A62V-01A-11R-A31O-07	TCGA-AN-A0FJ-01A-11R-A00Z-07	TCGA-AO-A0J5-01A-11R-A034-07	TCGA-B6-A0I9-01A-11R-A034-07	TCGA-B6-A0IB-01A-11R-A034-07	TCGA-B6-A0X1-01A-11R-A109-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-PL-A8LX-01A-11R-A41B-07	TCGA-UU-A93S-01A-21R-A41B-07
ABCC13|150000	0	39.6862	1.4065	19.7427	0.8917	38.7702	68.5296	495.6784	0.6656	0.416	3.6014	0.5607	0.3187	4.8481	1.0871	10.1344	0	2.7548	1.3353	0.7236
ABCC1|4363	851.6707	1348.8694	967.4216	1292.9281	1041.0165	2269.3255	976.7132	1382.4846	1502.8286	1148.6219	4298.9196	851.4158	1810.3888	1601.1635	5136.5675	2235.5193	1190.4946	766.2994	762.4346	635.3111
ABCC2|1244	11.4099	0.9229	3.9383	5.7034	13.8208	3.1779	940.4524	1.6661	8.985	2.4961	0	5.3266	41.109	1.616	27.7212	1.3979	8.6694	114.7842	1.3353	5.0651
ABCC3|8714	357.7832	154.1301	334.1951	155.3093	37.4498	381.3458	573.8523	1088.4099	175.7072	549.558	25.2101	695.8228	330.7839	34.2599	340.8072	320.1088	319.5294	640.0367	69.4336	390.0145
ABCC4|10257	202.934	161.5136	91.4254	160.574	75.7914	115.9927	106.4538	100.3853	138.1032	32.4493	1020.4082	2783.5716	816.4436	22.3012	380.4865	191.1566	397.554	172.1763	186.4916	53.5456
ABCC5|10057	970.6601	1668.2049	2826.3114	285.6112	824.3424	8504.0121	4559.2149	1809.4346	1971.7138	1076.235	660.2641	3918.6992	4639.5793	1500.9696	458.2144	2768.102	727.6105	554.1781	1711.8059	874.0955
ABCC6P1|653190	3.26	1.3844	1.9692	2.6324	0.4458	0.3178	8.982	0.8331	0.3328	1.248	0	0	0.956	4.8481	0.5436	0	1.5481	3.6731	0.4451	238.0608
ABCC6P2|730013	23.6349	20.3046	29.8188	62.7379	16.4958	5.4024	40.9182	7.4977	8.3195	2.0801	4.2017	1.9624	20.3952	75.9535	16.3066	7.6882	10.8368	11.4784	2.2254	123.0101
ABCC6|368	28.5249	27.2266	49.7917	242.616	63.7539	13.3471	367.5981	9.1638	25.9567	8.3203	36.0144	11.2139	149.4583	82.0944	32.6131	10.8334	122.6101	70.2479	4.896	233.7192
ABCC8|6833	218.4189	58.1449	48.9478	17.1103	0	90.2518	508.3167	66.6458	114.8087	256.6823	0	4.4856	43.021	448.287	0.5436	74.0863	61.3051	78.9715	176.2546	12.301
ABCC9|10060	113.2844	75.6807	100.4273	219.8022	287.5613	146.1826	254.8237	247.4227	282.5291	27.0411	287.515	401.1775	144.3595	71.4286	38.5922	281.3183	652.0629	188.2461	101.0348	60.7815
ABCD1|215	370.0081	633.1334	935.3524	605.0043	1194.8284	522.7616	510.6454	142.872	308.4859	492.1477	898.5594	301.6541	318.037	689.722	1189.292	566.1312	309.3119	976.1249	929.3424	1072.3589
