TCGA-2Z-A9J7-01A-11R-A38C-07	TCGA-A4-A57E-01A-11R-A26U-07	TCGA-AL-3466-01A-02R-1351-07	TCGA-AL-7173-01A-11R-2139-07	TCGA-BQ-5877-01A-11R-1592-07	TCGA-BQ-5889-01A-11R-1592-07	TCGA-BQ-5893-01A-11R-1592-07	TCGA-BQ-5894-01A-11R-1592-07	TCGA-F9-A8NY-01A-11R-A36F-07	TCGA-G7-6789-01A-11R-1965-07	TCGA-G7-6793-01A-11R-1965-07	TCGA-G7-A8LB-01A-11R-A36F-07	TCGA-GL-6846-01A-11R-1965-07	TCGA-SX-A7SM-01A-11R-A355-07
ACCN3|9311	49.6632	2.5924	40.7773	9.6761	18.4201	19.8944	73.6219	60.9781	93.9469	58.4001	84.3248	198.2186	21.7248	44.0181
ACCN4|55515	2.1133	0.6481	29.3087	0	0	0.406	7.7691	1.2277	58.8854	1.6222	3.5135	0	0	5.6433
ACCN5|51802	0	0	3.8229	0	0	0.406	0	0	0	0	0	0	0	0
ACCSL|390110	0	0	0	0	0	0	0	0	0	0	0.3194	0	0	0
ACCS|84680	483.9519	355.8004	821.9178	178.1545	36.2735	295.1685	9.249	14.733	12.1367	105.8501	11.8183	1429.6356	190.5859	277.6524
ACD|65057	904.504	1223.5904	415.4189	667.0831	329.5785	614.6975	708.842	899.5294	654.9315	695.9343	205.7015	1261.8623	681.0402	338.6005
ACE2|59272	534.1434	2651.9767	871.6152	2306.3317	731.1371	249.2895	699.963	42.1526	211.2682	384.8728	88.1578	900.4049	1094.47	4278.2167
ACER1|125981	0	0	0	0	0	0	0	0	0	0	0.6388	0	0.3292	0.5643
ACER2|340485	6.8683	17.4984	30.583	15.368	28.9054	16.2404	75.4717	88.3978	75.5172	32.85	101.8925	5.1822	41.8038	19.1874
ACER3|55331	113.063	391.4452	336.4129	156.5255	465.3206	332.5213	280.0592	489.8711	200.4801	333.3671	386.1694	105.587	309.0849	452.0316
ACE|1636	417.3821	356.4485	493.1507	144.5726	150.7616	204.2225	638.5498	263.9656	84.5073	798.1344	467.939	1211.336	200.1317	669.3002
ACHE|43	1482.499	34.3487	40.7773	75.7014	62.9118	181.892	5.5494	76.9388	7.6416	837.0678	16.29	563.5628	164.9111	152.3702
ACIN1|22985	2710.8704	2795.2041	2215.9924	1827.6484	2596.6702	2333.7393	2253.4221	1787.5998	2536.5674	1599.9189	1141.2601	5011.1741	2490.4542	3817.1558
ACLY|47	3770.1757	3670.7712	9995.54	4644.5378	5022.4584	3162.4036	7589.7151	5760.5893	4996.7186	17749.1635	7672.9218	2622.1862	6525.0165	5997.7427
ACMSD|130013	1038.172	1735.58	601.4654	1891.9661	509.2455	252.1315	631.1506	214.4465	1629.4625	934.8069	124.8902	779.919	589.8618	1953.1603
ACN9|57001	1159.16	495.1393	323.67	375.6611	131.4913	174.1778	285.2386	254.5529	293.9775	99.3612	231.2545	351.7409	275.8394	221.7833
ACO1|48	1386.871	1721.9702	1118.8277	1569.8082	3769.8902	1291.5144	1330.7436	1765.9096	1718.4648	2050.4917	1264.5532	542.1862	1751.8104	3374.7178
ACO2|50	8177.7731	7319.1834	2997.3112	4274.0448	2778.933	3065.1563	3318.1095	2088.6433	5226.6324	4059.6451	3428.811	8697.5352	7095.5069	4539.0971
ACOT11|26027	441.9126	877.6086	366.6008	315.2195	160.2919	236.9955	22.5675	60.1637	12.5862	53.5618	59.4714	1201.315	599.9375	541.2077
ACOT12|134526	0	7.129	10.1943	0	0	0.406	0	0	0	0	0	0	0.3292	0.5643
ACOT13|55856	757.2844	2088.2242	1682.3574	1256.3532	470.1183	618.8388	1597.3881	560.9863	1205.9596	417.8729	349.4402	1849.1595	712.4589	1172.7652
ACOT1|641371	471.8003	934.7764	66.2631	149.6953	1232.1955	394.6407	233.4443	225.4962	735.8428	221.4336	179.1903	886.1538	733.7064	1614.5598
ACOT2|10965	287.9408	466.3901	20.3887	79.1165	547.4715	241.1693	134.6652	277.4708	486.3665	139.1057	105.4061	325.83	368.9928	803.6117
ACOT4|122970	6.34	231.3675	39.503	11.3837	22.9543	70.2395	5.5494	17.1885	9.8892	7.3	3.5135	56.3563	53.6537	262.4153
ACOT6|641372	12.68	10.3694	5.0972	9.1069	1.4169	1.624	0	0.4092	0	0	0	5.1822	1.3167	18.623
ACOT7|11332	355.039	609.8509	495.6993	1162.842	380.3046	895.6557	1729.5597	1103.3354	922.8376	1101.4904	1508.9036	290.2024	294.9309	555.8691
ACOT8|10005	763.4606	462.696	215.0112	649.871	329.0939	469.4438	233.9142	420.2415	396.982	325.1425	323.5199	865.4445	309.1145	568.228
ACOT9|23597	576.9383	358.3927	462.5677	412.6581	496.7765	587.0889	405.4754	424.8005	396.4651	410.4228	353.9088	589.4737	391.0467	624.7178
ACOX1|51	1455.6122	1851.5878	2089.8375	1210.1298	1320.0142	1062.9314	1433.3296	978.5144	1422.6309	1563.0133	2353.0975	1573.4413	2097.765	1492.1445
ACOX2|8309	10.0383	287.7511	38.2287	347.7711	319.6599	148.1933	58.8235	108.8602	400.5106	191.828	334.1052	249.3927	574.0619	584.0858
ACOX3|8310	327.0374	473.1043	166.9321	350.0479	332.9791	452.294	237.8838	188.2546	413.5463	218.5947	255.5298	297.3279	364.3845	279.3454
ACOXL|55289	3.17	18.1465	5.0972	3.4151	3.9674	11.3683	0.37	7.3665	0.899	8.5167	1.9165	0	0.9875	1.693
ACP1|52	2001.8492	1368.1141	3839.4393	1416.6979	1494.8636	1256.5976	3532.3714	1955.3919	2258.7721	2308.0199	1787.7505	735.8704	1348.9138	1727.4266
ACP2|53	1715.4933	1382.372	536.4766	1239.1126	886.4329	1699.5534	657.0477	1296.9102	880.584	1030.9237	1352.3916	982.6721	1415.4049	1274.2664
ACP5|54	830.0092	815.2949	1395.3488	1947.1769	2613.1066	853.8368	191.6389	413.7508	122.2659	194.2614	237.6427	38.2186	83.6076	375.2822
ACP6|51205	253.5993	287.103	634.597	380.7838	166.9146	188.7942	262.3011	291.7946	369.9442	110.7168	168.6497	356.2753	332.7847	223.4763
ACPL2|92370	232.466	170.4472	322.3957	424.0417	384.8388	588.3069	1130.5956	1155.31	26.5209	338.6394	864.0102	2212.1457	1071.7577	295.1467
ACPP|55	0.5283	7.129	15.2915	6.261	33.723	181.892	4.4395	17.5977	0.899	3.65	7.6659	0	3.6208	5.6433
ACPT|93650	1.0567	0	0	0	0	0	0.37	0.4092	0	0	0	0	0	0
ACRBP|84519	494.5186	74.5301	119.7834	25.0441	235.7775	56.4352	7.0292	22.5087	17.9803	17.4389	15.3318	287.6113	131.6656	119.6388
ACRC|93953	12.68	23.9793	40.7773	7.9686	3.4006	22.7365	2.5897	7.3665	12.1367	12.1667	4.7912	41.4575	5.925	19.7517
ACRV1|56	0	1.9443	0	1.1384	0.5668	1.218	4.8095	1.2277	3.1465	0	0.6388	1.2955	0.3292	0
ACR|49	3.17	3.2404	0	5.1227	0.8502	4.8721	7.3992	2.4555	8.9901	0	2.8747	15.5466	3.6208	4.5147
ACSBG1|23205	13.2083	1.2962	11.4686	5.1227	1.4169	10.9622	2.5897	5.7295	5.8436	5.2722	5.7494	3.8866	6.2541	2.2573
ACSBG2|81616	0.5283	1.2962	33.1316	1.1384	0.2834	0	0.37	0	1.3485	0.4056	0	4.5344	4.2791	2.9684
ACSF2|80221	221.8994	471.8082	428.1618	224.8275	550.6199	824.1981	656.6778	509.9243	1014.0875	502.484	659.9058	376.3563	1189.5984	1723.4763
ACSF3|197322	593.8449	619.5723	211.5323	511.696	666.8084	598.0512	301.1469	585.6354	986.2181	506.9451	252.3357	709.9595	822.9098	794.5824
ACSL1|2180	1814.8197	2817.2391	1243.7082	1413.8519	10504.0028	3015.8343	3524.2323	2395.7438	7766.1306	747.8455	5709.4945	986.5587	2143.1863	5622.4605
ACSL3|2181	585.3916	565.1329	1938.1969	812.7941	1219.6954	863.581	1726.97	1636.5869	1426.2854	1073.507	2053.821	274.6559	887.4259	583.5214
ACSL4|2182	633.4698	1048.6066	2240.2039	2152.083	1972.9366	3395.8587	4834.6282	3740.9454	3268.3646	2388.7255	3464.3456	505.9109	974.6544	1038.3747
ACSL5|51703	19.5483	345.431	132.5263	204.9061	232.3769	725.538	162.7821	319.2142	131.256	75.4334	110.8361	34.9798	445.688	213.3183
ACSL6|23305	25.8883	1.9443	34.4059	6.261	4.2508	15.4283	1.8498	4.0925	1.798	2.8389	1.5971	0.6478	0	2.8217
ACSM1|116285	757.0995	7.129	79.0061	141.7267	222.4584	12.5863	10.7288	44.6081	76.4162	221.0281	115.6272	198.8664	302.8308	6.2077
ACSM2A|123876	2420.2879	7410.8879	4122.332	896.4641	4089.5501	2068.6155	76.2116	203.3968	614.9254	403.9339	8.6241	6356.5992	5216.5899	8346.5011
ACSM2B|348158	761.3261	1946.8568	2130.6148	507.1425	1600.2834	681.689	48.4647	143.6464	498.9526	637.5342	10.86	563.5628	835.0889	10132.0542
ACSM3|6296	987.6793	825.2949	1576.6422	829.585	937.7655	276.5205	1001.4428	494.2009	2530.9935	1438.5197	836.7196	1332.8648	1020.1547	323.798
ACSM4|341392	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM5|54988	504.5569	933.895	420.5161	289.1452	453.4183	99.0662	75.8417	13.9145	145.6402	100.5779	30.3442	297.9757	391.3759	1262.4153
ACSS1|84532	1720.2483	1204.7959	841.0322	1110.4771	1135.2462	1137.231	463.559	712.0933	2667.3739	922.2346	607.5222	1097.9757	782.7518	3254.5147
ACSS2|55902	3032.6245	1212.5729	1042.3702	2195.3409	4480.9068	1362.566	1182.02	1219.9714	1181.7536	779.8844	1055.977	11792.0648	2228.1106	5341.4221
ACSS3|79611	117.2897	272.8451	210.258	527.6331	2042.0829	326.8372	32.5564	57.7041	4.4951	490.3173	39.9265	196.2753	910.7966	44.0181
ACTA1|58	4.755	1.9443	0	0	3.1173	2.8421	19.9778	5.3202	0.899	0.8111	1.2776	6.4777	1.975	2.8217
ACTA2|59	804.1844	3205.9106	3278.1778	5388.4379	8637.7357	16584.393	3297.2808	12028.9666	7831.7451	25151.1386	11477.0646	789.681	1230.3423	2648.702
ACTBL2|345651	1.0567	0	7.6457	3.4151	1.9837	7.3082	2.2198	65.0706	6.2931	0.4056	9.5824	0	0	2.2573
ACTB|60	102781.6669	70535.9689	77349.4744	129195.5587	79886.9288	202365.814	64092.8598	146117.0452	42625.8395	81424.7186	68334.7441	109270.2834	112742.5938	110322.2348
ACTC1|70	5.2833	281.9183	0	18.2139	65.4623	167.6817	3.6996	944.1375	148.3373	7.3	42.4818	0	0.9875	3.386
ACTG1|71	63272.4871	42180.8166	111500.4779	35769.2018	61562.6242	70747.8685	95889.3822	80697.7696	49093.7941	105114.8738	111102.7709	38082.5911	61822.9098	86762.9797
ACTG2|72	99.8547	437.4595	2.5486	1099.0934	741.9058	261.0637	94.7096	1971.3526	882.8315	1464.0576	924.0597	22.6721	9.5458	8.465
ACTL6A|86	614.9782	758.2631	597.6426	663.668	731.9872	592.773	956.3448	1032.5353	655.381	332.9616	710.3729	791.5789	871.9552	639.9549
ACTL6B|51412	0.5283	0	0	0	0	0	0	0	0	0	0	0	0.3292	0
ACTL7A|10881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B|10880	0	0	0	0	0	0.406	0	0	0.899	0.4056	0	0	0	0
ACTL8|81569	0.5283	0	0	0	5.101	7.7142	4.0696	5.3202	6.2931	0	0	0	0	2.8217
ACTL9|284382	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1|87	1487.7823	1465.3273	1998.0886	1418.4054	4325.6111	4536.3378	4878.2834	7245.754	3308.3707	5190.7128	4195.1609	1073.3603	2027.9789	5902.9345
ACTN2|88	43.8515	16.2022	119.7834	27.3208	3.1173	8.9322	3.3296	2.8647	0	56.3723	3.5135	4.5344	1.6458	33.2957
ACTN3|89	0	0	0	0	1.7003	0.406	1.1099	1.2277	0	2.0278	0.6388	0	0.9875	0.5643
ACTN4|81	7384.6097	12018.0687	4475.0558	14298.09	13247.8866	20989.6062	13435.2867	24748.6884	11563.0344	11833.3408	16190.9702	8755.634	10783.7327	18821.5576
ACTR10|55860	798.8377	1068.0493	431.9847	643.1774	931.2079	862.769	936.367	725.5985	833.8353	553.1785	465.0643	548.0162	779.4602	1238.7133
ACTR1A|10121	2945.4497	2545.0421	1535.5209	4019.005	2917.1803	4478.6845	2499.815	3490.485	3523.6845	2091.0473	3437.1956	3351.5789	3106.3199	3062.6411
ACTR1B|10120	2078.9856	1327.2845	1027.0787	3228.4091	2422.9543	1881.8514	935.2571	2066.2983	2203.4828	2668.1537	1326.5192	1071.417	1594.7992	1499.4357
ACTR2|10097	2781.1386	2143.2275	7734.9474	3053.1006	5707.9702	5252.5376	9160.9323	8460.4052	4084.6691	3860.8943	5801.1659	1130.3644	3683.3443	3955.4176
ACTR3B|57180	698.4546	309.138	154.1892	220.8432	154.4456	177.8319	157.9726	191.1193	310.1598	152.8947	92.949	236.4372	211.3232	159.1422
ACTR3C|653857	89.2881	72.5859	24.2115	161.0789	34.2898	103.1263	12.9486	34.3769	44.0517	132.2113	60.3689	36.9231	55.6287	117.9458
ACTR3|10096	2084.2689	5195.7226	6228.7353	4989.463	4009.3518	4399.5128	7066.5927	7188.4592	4567.889	2988.543	3594.6658	1085.668	2692.2317	3839.7291
ACTR5|79913	346.5857	180.1685	467.6649	142.2959	127.8073	142.5091	205.6974	218.539	150.1353	148.028	87.519	489.7166	152.0737	260.7223
ACTR6|64431	479.1969	405.0551	319.8471	461.0387	616.0822	283.3942	332.9634	359.3206	599.1927	360.5394	277.5693	209.8785	436.8005	655.7562
ACTR8|93973	427.9488	284.5107	298.1841	371.1077	361.8845	351.1977	354.791	421.1172	361.4035	289.5671	406.2924	514.332	818.3015	682.2799
ACTRT1|139741	0	0	0	0	0.2834	0.406	0	0	0	0	0	0.6478	0	0
ACTRT2|140625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1B|91	1168.1416	1358.3927	1614.5269	4441.3392	2764.435	2582.6228	1420.2738	2806.6298	3007.2011	3853.1887	2774.0957	3707.8543	1229.4273	2858.9165
ACVR1C|130399	3.17	1.9443	166.9321	3.4151	16.7198	4.0601	8.879	36.8324	41.8041	4.8667	7.9853	1.9433	3.2916	7.9007
ACVR1|90	616.5632	1316.9151	1905.0653	941.4296	1738.0092	754.3646	2050.3145	1575.1995	1785.8909	3321.5046	1700.551	520.1619	1192.5609	1855.5305
ACVR2A|92	405.2305	416.7207	503.345	403.5511	348.8487	280.1462	472.438	466.9531	444.1128	385.2783	382.6559	362.753	347.9263	267.4944
ACVR2B|93	313.3008	147.7641	778.5919	298.2522	170.882	200.1624	423.6034	437.4872	421.188	363.3783	532.1409	669.1498	558.5912	347.0655
ACVRL1|94	336.5474	249.5139	215.3552	1227.1597	224.4421	1328.0552	477.2475	653.9799	717.413	711.751	1031.0628	354.332	162.9361	180.5869
ACY1|95	5095.7601	1594.2968	423.0647	4139.1028	663.7563	1222.8989	472.0681	1852.0606	2175.5909	850.3295	1361.2489	6258.1377	4345.846	2603.1772
ACY3|91703	253.0709	600.7777	84.1032	677.8976	183.351	311.8149	4.8095	26.6012	173.9592	15.4111	0	1809.8785	679.0652	1386.5688
ACYP1|97	181.2178	129.6176	94.2975	73.9939	22.9543	80.7958	125.7862	40.1064	108.3312	46.639	67.0766	329.0688	72.0869	136.5688
ACYP2|98	115.1763	77.1225	163.1093	176.4469	72.8303	151.8473	233.0744	115.8175	189.2424	73.0001	44.0789	115.9514	53.9829	43.4537
ADAD1|132612	0	0	0	0	0	0	0	0	0.4495	0	0	0	0	0
ADAD2|161931	0	0.6481	0	0	0	2.7974	0.37	1.637	0	3.65	0.3194	3.8866	0.6583	1.1287
ADAL|161823	336.5474	359.0408	352.9787	195.23	133.7584	106.7803	209.7669	120.3192	138.4481	88.8168	234.4486	265.587	78.341	112.8668
ADAM10|102	1467.1774	1424.4977	2266.964	583.4131	5815.0903	1126.2688	1881.983	3685.6967	1474.3826	2612.5925	5327.4774	371.8219	3205.7275	1560.9481
ADAM11|4185	15.85	3.8885	39.503	9.1069	21.5374	10.1502	16.2782	15.1422	295.7755	39.7445	115.6272	31.0931	6.2541	21.4447
ADAM12|8038	52.8332	51.199	360.6244	277.7616	283.3865	887.1295	210.1369	717.8228	106.9826	927.5068	610.3969	25.2632	112.5741	81.2641
ADAM15|8751	1711.9535	1812.7025	1094.6161	2218.1083	1432.1587	3548.5505	3980.3922	5738.5226	5684.7518	5955.6159	4017.2483	491.6599	973.9961	1009.0293
ADAM17|6868	361.3789	276.0855	904.7467	152.5412	904.853	304.1007	1227.155	1570.6978	690.8921	1119.3349	1426.4952	130.2024	691.5734	386.5688
ADAM18|8749	0	0.6481	0	0.5692	0	0	6.2893	0.4092	0.899	0	0	0	0	0
ADAM19|8728	8.9816	42.1257	350.4301	101.3147	183.351	808.3638	255.6419	585.2261	120.9174	459.9006	545.8756	4.5344	53.9829	43.4537
ADAM20|8748	0.5283	1.2962	14.0172	0	0	2.03	0.37	0.4092	0.899	0	0.6388	6.4777	1.3167	1.693
ADAM21P1|145241	6.8683	0.6481	0	0.5692	0.2834	0.812	1.1099	2.0462	0	0.4056	4.4718	0	0.9875	1.1287
ADAM21|8747	24.3033	0.6481	0	2.8459	2.5505	4.8721	6.6593	14.3237	2.2475	2.8389	9.263	1.9433	3.2916	6.2077
ADAM22|53616	8.9816	162.6701	47.1488	5.6918	75.0974	23.1425	42.9153	34.3769	208.5712	188.5836	218.7974	1.9433	44.108	24.2664
ADAM23|8745	1.0567	1.2962	35.6802	5.6918	7.0847	8.5262	8.5091	12.6867	57.9864	50.289	838.4572	0	2.3041	3.386
ADAM28|10863	24.3033	52.4951	63.7146	63.7486	145.6606	287.8603	372.919	134.2337	12.1367	939.6735	79.5337	16.8421	38.8413	60.9481
ADAM29|11086	0	0	0	0	0	2.03	0	2.0462	0	0	0.6388	0	0	0
ADAM2|2515	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM30|11085	0	0	0	0	0	0.406	0	0	0	0	0	0	0	0
ADAM32|203102	0.5283	0	7.6457	4.5535	19.2703	3.6541	2.2198	0.8185	1.3485	6.4889	0.9582	7.7733	0.9875	4.5147
ADAM33|80332	1.585	0.6481	17.8401	15.368	15.8696	22.7365	2.2198	7.7757	1.798	14.1945	33.5383	1.9433	10.8624	10.7223
ADAM3A|1587	0	0	0	0	0	0	0	1.2277	0	0	0	0	0	0
ADAM5P|255926	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6|8755	60.2351	249.3584	10841.389	33175.66	7986.7857	51849.935	24226.8036	55769.8465	7919.0663	5120.1622	961.6961	34.6105	545.7999	1389.7348
ADAM7|8756	0.5283	3.2404	6.3715	0	0	0.406	517.943	9.4127	476.9268	0	0	0	0.9875	7.3363
ADAM8|101	91.9297	211.2767	126.1548	109.8524	251.0804	1053.1872	80.2812	458.7682	187.4444	405.9617	75.3813	58.9474	64.8453	186.7946
ADAM9|8754	1580.2404	6526.2476	3221.4081	1998.4034	7272.2635	1624.0357	3681.0951	4837.7328	2393.1747	13284.3962	8513.6149	544.7773	3707.0441	4628.6682
ADAMDEC1|27299	2.1133	9.0732	38.2287	44.9655	33.723	138.043	47.3548	202.5783	10.7882	4.8667	30.3442	0	11.8499	4.5147
ADAMTS10|81794	11.095	106.2865	648.6142	248.7332	442.0829	485.5867	136.8849	130.9597	58.8854	360.1338	109.8778	27.8543	55.6287	576.7494
ADAMTS12|81792	3.17	4.5366	20.3887	22.1982	57.2441	48.7211	34.7762	70.8001	7.6416	269.6948	118.8214	1.2955	15.4707	5.6433
ADAMTS13|11093	712.7196	105.6384	346.6072	142.2959	20.9706	79.1717	47.7248	90.8533	118.6698	62.0501	129.6814	1339.5951	134.9572	86.9074
ADAMTS14|140766	30.1149	12.3137	136.3492	33.0126	1.9837	164.0276	23.6774	74.8926	9.4396	30.4167	26.8306	61.5385	16.7874	25.395
ADAMTS15|170689	11.6233	353.208	136.3492	12.522	690.0461	27.6086	42.1754	110.4972	60.2339	244.5503	193.2444	42.1053	2157.6695	20.316
ADAMTS16|170690	241.976	15.5541	331.3157	69.4404	9.6351	336.5814	1.1099	33.1492	17.5308	50.289	0.3194	211.8219	1281.7643	33.86
ADAMTS17|170691	29.0582	14.906	52.2459	26.1824	73.3971	11.7743	2.5897	26.6012	3.1465	25.55	34.8159	86.8016	15.7999	16.93
ADAMTS18|170692	2.1133	5.1847	20.3887	3.4151	2.8339	13.3983	5.5494	2.4555	0.4495	0	14.693	15.5466	31.2706	3.386
ADAMTS19|171019	0	0	0	0	0	31.2627	2.5897	0.4092	0	0	0.3194	0	0	0.5643
ADAMTS1|9510	4977.9421	799.0927	3053.2017	5343.4952	1608.2182	4078.7657	1194.9686	3171.2707	543.0043	1236.5406	4014.693	1136.8421	2079.3285	2763.544
ADAMTS20|80070	0	0	0	0	0	0.406	0	34.3769	0	0	0	0	0	0.5643
ADAMTS2|9509	56.0032	106.2865	25.4858	32.4435	223.8753	307.7548	211.6167	214.8557	62.032	762.4455	578.1362	6.4777	348.9138	39.5034
ADAMTS3|9508	119.9313	580.0389	393.756	132.6198	200.921	191.6362	307.4362	98.629	152.8323	418.9395	298.9699	115.3036	120.8032	150.6772
ADAMTS4|9507	12.1516	79.7148	346.6072	162.2173	52.7099	1146.5692	442.1014	519.337	95.2955	721.0788	1336.421	17.4899	53.9829	334.6501
ADAMTS5|11096	33.8132	125.7291	127.4291	229.9502	101.169	243.1994	259.3415	363.0039	175.3077	344.7227	424.4989	42.1053	91.8367	22.5734
ADAMTS6|11174	2.6417	42.7738	21.6629	10.2453	33.1562	31.6687	4.0696	17.5977	10.3387	16.6278	12.4571	0.6478	2.3041	2.8217
ADAMTS7|11173	291.1108	39.5334	115.9605	108.1449	134.892	198.9444	82.131	259.0546	67.426	234.4114	190.6891	235.7895	439.763	48.5327
ADAMTS8|11095	16.9066	14.2579	30.583	13.0912	65.4623	84.8559	7.7691	222.6315	15.2832	21.0889	8.3047	23.9676	120.474	19.1874
ADAMTS9|56999	934.6189	753.0784	1280.6626	683.0203	545.519	1079.5778	1069.9223	2551.2584	962.3943	966.0347	4290.3458	2585.2632	3375.9052	983.6343
ADAMTSL1|92949	4.2267	14.906	0	72.2863	39.3907	287.8603	48.4647	196.4395	36.4101	133.428	99.6566	1.9433	62.212	37.8104
ADAMTSL2|9719	105.6664	53.1432	42.0516	46.1039	137.7258	1130.3289	258.6016	408.8398	71.9211	1162.7294	236.3651	37.5709	34.8914	169.8646
ADAMTSL3|57188	268.3926	133.5062	109.589	92.2077	2552.1785	167.2757	67.3326	69.9816	57.0874	443.6784	229.9768	1.9433	576.366	923.8149
ADAMTSL4|54507	823.6693	43.4219	467.6649	522.5105	727.4531	482.3386	31.8165	108.8602	18.8793	824.9011	107.6419	369.2308	365.372	176.6366
ADAMTSL5|339366	151.6312	0.6481	7.6457	232.7961	55.2604	28.0146	6.2893	3.6832	1.798	131.4002	9.5824	49.8785	133.9697	55.8691
ADAP1|11033	413.4936	99.2547	28.0471	280.9092	226.6043	748.5424	418.6607	1123.7978	417.8391	103.9075	345.4188	477.4089	313.6735	224.8194
ADAP2|55803	90.3447	366.8179	114.6862	165.0632	527.0988	506.2931	80.6511	429.7115	98.442	231.167	216.8809	126.9636	298.2225	321.6704
ADARB1|104	327.0374	191.186	268.8754	346.0636	411.7605	418.5952	402.1458	429.7115	514.6854	253.067	553.5415	200.8097	335.418	192.4379
ADARB2|105	1.585	0	0	1.7076	0.2834	3.6541	1.1099	11.8682	0.4495	1.2167	0.9582	2.5911	1.3167	0.5643
ADAR|103	2351.0765	3795.8522	7542.5295	4672.9969	6807.7931	5270.4019	6792.0829	4834.868	3671.5723	7252.9656	8106.0449	1927.7733	5234.0355	3900.1129
ADAT1|23536	149.5179	243.0331	211.5323	38.1353	288.7708	93.7881	173.5109	253.3251	231.496	270.1004	223.5886	59.5951	457.867	138.8262
ADAT2|134637	331.264	206.092	684.2944	81.9624	75.9476	112.0585	129.4858	94.1273	152.8323	47.4501	41.843	582.3482	95.4575	155.1919
ADAT3|113179	36.4549	60.2722	12.7429	40.9812	53.2767	207.4706	37.7358	64.2521	29.6675	40.9612	13.4153	73.1984	20.7373	62.6411
ADA|100	212.3894	56.3837	202.6123	169.0475	133.1916	272.026	274.1398	424.8005	120.0183	272.5337	250.4192	65.4251	124.7531	116.8172
ADCK1|57143	285.8275	259.2353	95.5718	118.3902	212.2565	220.4629	127.266	131.3689	175.7572	96.1168	54.9389	245.5061	197.4984	227.991
ADCK2|90956	2548.1442	1130.9138	217.9038	1163.4112	1288.8417	882.6634	398.0762	1025.5781	1410.1031	1500.5576	1116.3459	470.2834	994.4042	823.4312
ADCK4|79934	677.8497	583.9274	187.3208	1022.2537	934.0418	781.9732	436.552	711.6841	771.3538	783.5344	747.4247	571.336	662.2778	725.1693
ADCK5|203054	209.2194	158.7816	58.6174	131.4814	133.1916	192.8542	79.1713	167.7921	262.9615	128.1557	125.2096	483.2389	109.2824	165.3499
ADCY10|55811	0.5283	7.129	10.1943	1.7076	7.0847	3.6541	1.1099	0	0.4495	8.5167	0.3194	3.8866	0.6583	5.6433
ADCY1|107	13.2083	9.7213	72.6346	3.4151	21.5374	68.6155	116.5372	113.7712	28.3189	55.5612	316.5376	22.0243	5.925	7.9007
ADCY2|108	107.7797	86.1957	103.2176	270.9314	360.4676	5.2781	61.7832	12.2775	0.4495	14.1945	6.3882	4.5344	4.6083	45.7111
ADCY3|109	104.3138	247.9909	427.0532	359.9403	272.7935	1072.7609	1775.4384	1949.9161	2960.9558	1427.6062	2273.896	43.9773	185.971	145.6659
ADCY4|196883	20.6049	29.8121	50.9716	29.0284	31.4559	304.5067	46.2449	182.5251	139.3471	33.6612	97.7402	24.6154	42.133	55.8691
ADCY5|111	195.4828	226.1828	378.4645	85.9467	83.0322	160.7795	357.3807	154.6961	75.5172	200.3447	277.2499	6.4777	87.5576	65.4628
ADCY6|112	1336.6794	984.4459	1113.7305	2150.3754	2152.0368	1886.3175	1145.394	2091.2625	2358.5627	1963.2972	3586.3611	2309.9595	1965.1086	1708.2393
ADCY7|113	407.3438	213.8691	843.5808	430.3028	1178.3209	764.9208	674.0659	502.5578	128.559	759.6066	894.6738	312.2267	814.3515	454.8533
ADCY8|114	1.585	7.129	22.9372	2.2767	0.5668	2.03	0	0	0	0	0.3194	0	4.2791	2.2573
ADCY9|115	673.0947	2512.6377	792.6091	473.5607	1559.1923	680.877	1049.9445	1083.2822	961.0457	1820.947	2158.9076	1534.5749	2520.4082	1690.7449
ADCYAP1R1|117	0	0	0	0	0.2834	0	0	0.4092	0	0.4056	0.9582	0	0	0
ADCYAP1|116	8.4533	1.9443	15.2915	36.9969	3.4006	61.7134	21.0877	220.5852	6.7426	1.2167	382.3365	0.6478	0	1.693
ADC|113451	189.6711	195.7226	82.8289	255.5634	108.8204	192.4482	190.529	153.0591	377.1363	207.6447	237.6427	252.6316	181.6985	179.4582
ADD1|118	4918.769	5925.4699	4597.6426	6515.4441	7311.9377	6825.4162	5392.5268	4775.5269	3765.5192	6187.5697	5909.1272	7188.3401	12328.1764	7848.1941
ADD2|119	23.2466	9.7213	170.755	59.7643	150.4782	24.3605	1.1099	4.911	1.798	19.0611	206.6597	3.8866	4.6083	3.9503
ADD3|120	683.6613	2867.1419	828.2893	1477.6005	2301.6649	1484.3687	2064.7429	1715.9812	2549.6031	1510.6965	2581.4901	1394.0081	2204.0816	2367.3815
ADH1A|124	0	0.6481	0	4.5535	5.3843	15.8343	6.2893	1.637	0	0	14.1244	0.6478	0.6583	0.5643
