TCGA-KL-8323-01A-21R-2315-07	TCGA-KL-8326-01A-11R-2315-07	TCGA-KL-8334-01A-11R-2315-07	TCGA-KL-8335-01A-11R-2315-07	TCGA-KL-8338-01A-11R-2315-07	TCGA-KL-8343-01A-11R-2315-07	TCGA-KL-8344-01A-11R-2315-07	TCGA-KL-8345-01A-11R-2315-07	TCGA-KM-8440-01A-11R-2315-07	TCGA-KN-8429-01A-11R-2315-07	TCGA-KN-8433-01A-11R-2315-07	TCGA-KO-8405-01A-11R-2315-07	TCGA-KO-8408-01A-11R-2315-07	TCGA-KO-8416-01A-11R-2315-07
ACACA|31	1409.2541	745.5197	1343.9415	1350.8578	1284.7744	1659.067	1248.062	2839.5349	1168.9793	836.2292	1013.7705	602.4964	1035.7906	1109.0359
ACACB|32	4855.2054	4987.7642	4199.7257	5765.0246	3193.609	3989.4774	2565.8915	3334.8837	4992.2068	8112.3845	2607.8689	1715.7945	3766.5598	3552.282
ACAD10|80724	1658.556	1485.6013	2436.214	1435.9386	2050.282	2229.3932	1546.3681	2339.5349	1986.3144	1502.0333	1542.9508	1379.7408	1444.4444	2447.9811
ACAD11|84129	357.3993	346.0487	620.6822	333.0471	655.5028	789.6633	375.0962	600.3876	368.3064	388.8429	278.6885	408.5454	646.875	408.786
ACAD8|27034	954.5273	958.596	1530.8642	1658.2723	1353.3835	1289.3722	913.8674	819.3798	1683.3302	998.1516	1742.9508	799.3279	1758.0128	1265.29
ACAD9|28976	1581.5676	1475.8472	1471.9671	1181.8963	1754.6898	1400.5542	1242.4261	1241.4729	1152.6288	1224.7689	852.8393	1052.3284	1516.0203	1745.6109
ACADL|33	2148.3845	720.8009	1103.2465	2464.533	960.0564	1158.5409	569.0497	1161.2403	1035.1644	1997.7819	499.6721	744.5991	786.3248	1601.4731
ACADM|34	856.4021	862.1926	615.6379	1388.9836	510.3383	2242.7219	996.5547	989.1473	761.072	964.5102	1655.7377	832.4532	432.6923	1144.8113
ACADSB|36	1291.1847	3109.1336	1482.9447	1165.0446	849.6241	5625.7454	3048.5214	1869.3798	1482.988	983.7338	1325.2459	879.0206	1112.1795	1186.8999
ACADS|35	2686.4779	10020.0222	4676.7261	5395.8062	4626.8797	8708.8741	3254.9526	1605.814	3371.2222	2875.4159	7613.1148	3687.9501	4334.9359	4359.3318
ACADVL|37	3959.5333	9751.0716	3765.1029	4974.3112	4504.1776	4252.5044	4600.0431	5254.5698	3848.2684	2792.9649	10375.7377	8002.8469	7215.2137	4732.332
ACAN|176	53.0515	23.7301	209.968	218.3205	116.5414	68.3971	1063.1639	115.8915	3.4214	63.9556	74.0984	26.8843	266.5598	460.3446
ACAP1|9744	17.152	5.9325	28.1664	23.6781	31.9549	2.806	9.7617	3.876	6.0825	39.1867	66.2295	120.4993	20.8333	42.0886
ACAP2|23527	1107.2996	552.2185	910.8368	1029.397	539.0038	1006.3136	967.2696	1337.2093	1124.501	1089.0943	481.3115	584.2535	615.9188	739.1819
ACAP3|116983	185.9035	274.8733	396.2689	241.3324	356.7058	218.8706	315.8628	212.1008	203.0298	335.3604	710.4328	470.0192	577.0566	360.947
ACAT1|38	12572.3973	15194.1664	13369.9131	21110.0632	15978.3835	15624.3423	8948.6075	7824.8062	24768.295	26603.6969	14826.8852	12653.8646	17817.8419	29471.5244
ACAT2|39	128.6358	180.6649	136.139	201.3886	303.8628	161.1014	246.994	72.9612	190.9713	193.4159	139.7049	259.9232	207.3932	192.0979
ACBD3|64746	763.4623	448.8938	779.1495	789.0037	429.0414	674.8509	679.8737	723.6434	696.4455	1188.1701	660.3279	876.6203	391.0256	449.8224
ACBD4|79777	187.874	497.8371	185.4595	206.6821	210.9962	198.5268	353.431	189.9225	178.2931	213.6784	311.4754	161.3058	237.1795	237.2748
ACBD5|91452	944.9541	1260.66	731.9616	1065.5162	667.7632	1377.7622	1871.6624	617.8295	1223.7217	899.8152	2601.9672	945.7513	660.2564	601.8677
